22.94	636
23.64	652
23.75	660
23.81	540
23.85	684
24.09	604
24.29	588
24.54	580
24.82	708
24.89	644
25.16	772
25.18	620
25.44	556
25.49	740
25.67	756
26.11	628
26.12	796
26.23	548
26.43	788
26.55	16
26.71	748
26.72	596
26.93	144
26.95	804
27.23	612
27.29	700
27.39	724
27.49	692
27.63	80
27.75	96
27.78	8
27.93	668
28.36	572
28.98	780
29.01	564
29.96	732
30.36	764
30.59	716
30.65	676
39.88	136
47.93	152
57.40	462
58.06	366
58.32	326
58.45	278
59.40	318
59.44	486
59.92	286
60.00	8
61.32	374
61.45	192
61.87	502
61.96	382
62.05	454
62.55	526
63.07	302
63.28	216
63.36	342
63.40	398
63.49	358
64.16	334
64.17	310
64.45	350
65.02	518
65.71	510
65.73	534
65.80	446
65.93	232
66.10	184
66.14	294
66.30	270
66.91	478
67.55	470
67.83	256
70.25	494
71.05	176
71.38	248
71.68	208
71.80	192
72.05	240
72.10	264
72.25	200
72.83	224
73.45	80
73.50	216
75.35	144
75.72	390
75.80	152
75.80	160
76.05	232
76.38	184
83.83	248
83.93	216
84.28	200
84.28	240
84.28	264
84.95	224
85.68	232
85.88	184
86.05	16
87.18	8
88.83	256
90.45	192
92.03	216
92.23	176
92.23	208
92.93	200
93.70	224
94.48	144
95.90	232
103.13	216
104.35	224
113.73	224
118.51	1026
121.43	216
122.76	1058
127.03	962
127.38	224
127.40	8
127.55	16
128.66	1018
128.70	858
129.59	970
130.16	1002
131.75	818
133.23	978
133.40	1050
133.70	192
135.53	946
135.72	986
136.11	842
136.53	882
136.63	208
136.71	954
138.10	994
138.33	72
140.16	914
140.20	1042
140.47	874
140.68	248
141.01	922
141.10	826
141.32	898
141.34	938
141.63	88
141.76	810
141.93	184
142.18	96
142.53	56
142.56	1066
142.87	890
143.00	112
143.15	80
143.34	930
143.43	40
143.45	1010
143.70	232
143.97	1074
144.13	104
144.33	64
144.38	128
144.45	834
144.49	906
144.84	1034
145.18	120
146.30	16
146.38	176
146.95	224
148.13	208
148.49	850
149.48	144
151.25	240
151.48	200
153.43	256
154.70	248
155.62	866
161.75	264
162.93	200
165.23	256
165.63	240
166.70	176
168.53	136
168.60	152
169.83	168
169.98	160
21.64	661
21.99	797
23.39	541
24.30	749
24.43	741
24.54	613
24.78	621
24.89	789
25.08	757
25.19	629
25.45	773
25.48	605
25.69	565
25.89	549
25.93	557
25.95	733
26.03	653
26.08	1
26.23	717
26.70	669
26.75	805
26.95	781
27.13	637
27.19	693
27.39	589
27.43	81
27.43	597
27.53	677
27.58	89
27.64	573
27.68	9
27.68	645
27.84	765
28.47	701
28.95	581
28.99	685
30.18	725
30.92	709
33.55	161
55.25	471
57.08	279
57.86	311
58.28	391
58.39	383
58.53	145
58.90	9
59.39	335
59.40	201
59.51	527
59.99	327
60.02	343
60.46	303
60.95	295
61.76	375
61.77	503
62.48	351
63.45	535
63.77	319
64.05	495
64.53	463
64.65	287
64.74	359
64.77	399
65.65	233
65.88	257
66.19	447
66.33	487
66.46	455
66.53	367
67.01	519
67.78	225
68.01	479
68.35	193
69.52	271
69.95	201
70.13	265
70.35	217
70.55	185
72.55	177
73.65	89
74.58	209
75.53	241
75.58	161
75.68	511
75.73	233
76.35	153
76.35	169
76.53	257
77.95	249
84.60	177
85.48	233
86.23	209
87.48	225
88.03	193
88.55	201
88.78	257
88.90	249
89.35	241
90.38	217
90.63	185
94.38	233
94.90	161
95.40	153
105.53	233
107.45	225
108.18	193
123.74	883
124.45	827
125.50	73
126.64	915
127.75	9
128.03	1059
128.98	867
128.99	1011
129.08	923
130.13	105
130.25	1027
130.65	1051
132.18	947
132.89	859
133.18	201
133.58	907
134.10	217
134.37	1043
135.15	49
135.26	987
135.70	97
137.13	233
138.18	995
138.19	819
138.59	843
139.00	1019
139.03	979
139.36	1067
139.45	241
139.69	971
140.13	811
141.44	851
142.14	931
142.35	185
142.90	89
143.18	65
143.22	891
143.50	105
143.63	41
143.65	81
144.14	939
144.30	121
145.05	113
145.45	25
145.85	129
146.03	899
146.37	835
146.39	875
146.40	9
147.25	1075
147.35	201
148.80	161
148.83	1003
149.34	1035
151.23	241
