19.21	566
19.77	589
20.15	759
20.38	26
20.78	700
21.17	657
21.40	708
21.43	553
21.64	659
21.79	726
21.99	795
21.99	741
22.04	736
22.15	49
22.16	676
22.28	542
22.30	636
22.59	709
22.81	638
22.90	13
22.94	634
23.08	637
23.11	661
23.17	625
23.25	769
23.32	569
23.41	710
23.47	732
23.55	556
23.60	641
23.62	758
23.64	650
23.71	734
23.73	764
23.75	658
23.85	682
23.87	783
23.92	765
23.93	724
24.02	559
24.09	654
24.09	602
24.12	596
24.13	615
24.20	593
24.29	586
24.30	747
24.33	640
24.34	756
24.35	727
24.39	792
24.43	739
24.53	737
24.54	611
24.54	578
24.55	609
24.59	598
24.64	780
24.68	16
24.69	558
24.73	671
24.78	619
24.79	630
24.82	706
24.89	642
24.89	787
24.91	798
24.93	677
24.96	665
25.00	19
25.00	728
25.01	757
25.08	755
25.09	604
25.12	605
25.15	793
25.16	770
25.16	585
25.18	618
25.19	777
25.19	627
25.26	678
25.29	550
25.30	565
25.31	797
25.38	98
25.42	621
25.42	697
25.43	696
25.44	554
25.45	623
25.45	771
25.48	760
25.48	603
25.49	738
25.50	701
25.51	702
25.61	541
25.63	664
25.64	545
25.67	754
25.69	563
25.71	644
25.72	572
25.77	557
25.78	628
25.81	745
25.87	748
25.87	743
25.89	574
25.89	547
25.93	694
25.93	555
25.93	785
25.93	584
25.94	601
25.95	731
25.99	552
26.03	801
26.03	560
26.03	651
26.07	582
26.08	680
26.11	789
26.11	626
26.12	794
26.12	692
26.14	662
26.16	670
26.21	720
26.23	715
26.23	546
26.27	766
26.28	543
26.35	97
26.38	776
26.41	729
26.43	786
26.45	540
26.45	18
26.49	717
26.50	742
26.58	624
26.58	606
26.63	599
26.69	620
26.69	749
26.70	667
26.70	767
26.71	655
26.71	746
26.71	686
26.72	594
26.74	716
26.74	685
26.75	803
26.76	576
26.78	790
26.79	744
26.79	799
26.80	688
26.93	69
26.93	804
26.95	802
26.95	779
26.95	622
26.98	549
27.05	15
27.08	752
27.09	772
27.09	681
27.10	693
27.13	12
27.13	79
27.13	635
27.14	561
27.19	691
27.23	101
27.23	610
27.23	591
27.27	551
27.28	703
27.29	698
27.36	695
27.39	587
27.39	722
27.40	90
27.40	100
27.43	595
27.45	718
27.49	690
27.49	768
27.50	809
27.51	608
27.53	58
27.53	675
27.55	154
27.58	71
27.58	629
27.59	647
27.59	712
27.63	687
27.64	571
27.67	782
27.68	23
27.68	643
27.69	750
27.71	805
27.72	704
27.73	78
27.75	157
27.79	575
27.79	614
27.84	763
27.85	773
27.85	5
27.87	800
27.91	607
27.93	666
27.98	613
27.99	808
28.00	639
28.03	110
28.03	580
28.04	588
28.09	725
28.15	649
28.17	592
28.20	646
28.27	791
28.30	577
28.33	224
28.36	570
28.47	774
28.47	699
28.51	600
28.58	96
28.62	573
28.63	740
28.65	660
28.68	87
28.70	616
28.71	775
28.73	721
28.75	81
28.79	689
28.80	20
28.80	88
28.92	617
28.93	161
28.93	225
28.95	579
28.95	735
28.98	778
28.99	683
29.01	562
29.04	564
29.06	668
29.08	761
29.15	150
29.20	784
29.23	160
29.23	719
29.33	147
29.35	583
29.36	612
29.40	151
29.42	568
29.44	673
29.44	645
29.45	652
29.53	581
29.62	713
29.63	194
29.63	788
29.65	140
29.75	215
29.79	567
29.79	711
29.79	684
29.82	544
29.96	730
29.98	214
30.15	136
30.18	723
30.19	733
30.36	762
30.39	679
30.40	633
30.59	781
30.59	714
30.61	653
30.63	590
30.65	674
30.71	632
30.72	648
30.78	663
30.83	158
30.86	807
30.88	216
30.91	753
30.92	707
31.10	548
31.15	146
31.16	751
31.33	148
31.43	705
31.70	205
31.88	203
32.05	631
32.23	597
32.35	143
32.45	656
32.68	669
32.75	806
32.85	796
33.13	22
33.15	8
33.34	672
34.15	204
37.20	144
42.35	224
42.88	165
42.95	225
43.18	139
43.63	194
43.68	215
43.88	214
44.90	216
45.68	205
45.88	203
48.00	204
53.88	145
55.07	305
55.25	469
55.40	159
55.64	271
55.67	334
55.86	473
56.17	323
56.56	392
56.67	449
56.72	312
56.80	465
57.08	277
57.26	347
57.40	460
57.41	343
57.44	350
57.69	289
57.81	294
57.86	309
58.02	518
58.06	375
58.06	364
58.10	514
58.16	377
58.28	389
58.32	324
58.39	381
58.40	1
58.45	363
58.45	276
58.51	539
58.63	481
58.98	19
58.98	398
59.00	487
59.16	538
59.18	394
59.35	470
59.38	345
59.39	333
59.40	316
59.44	488
59.44	484
59.45	399
59.51	525
59.73	314
59.83	458
59.85	351
59.87	522
59.92	284
59.96	390
59.99	325
60.02	341
60.11	358
60.16	395
60.16	352
60.22	275
60.24	288
60.29	297
60.32	475
60.41	503
60.43	203
60.43	322
60.46	301
60.52	376
60.62	441
60.65	195
60.66	342
60.76	507
60.80	504
60.85	378
60.88	286
60.95	293
60.96	450
60.97	519
61.32	372
61.41	498
61.42	366
61.42	451
61.42	463
61.54	537
61.73	440
61.76	499
61.76	373
61.77	501
61.81	331
61.87	500
61.93	280
61.96	380
61.99	306
62.05	452
62.06	274
62.07	391
62.08	494
62.09	474
62.12	387
62.18	244
62.48	349
62.50	479
62.54	511
62.55	524
62.63	190
62.70	211
62.72	273
62.73	379
62.77	361
62.79	506
62.80	199
62.83	446
62.91	480
62.91	360
63.05	217
63.06	368
63.07	300
63.12	490
63.32	531
63.33	369
63.36	340
63.40	396
63.41	328
63.41	497
63.45	533
63.46	520
63.49	356
63.56	270
63.57	496
63.58	401
63.59	530
63.62	318
63.71	534
63.73	464
63.73	382
63.75	447
63.75	371
63.75	16
63.75	214
63.77	317
63.78	495
63.82	472
63.83	467
63.86	400
63.87	336
63.94	462
63.97	326
64.01	489
64.05	493
64.10	384
64.10	218
64.12	471
64.15	200
64.16	332
64.17	308
64.18	359
64.19	315
64.19	346
64.22	313
64.23	283
64.24	491
64.24	307
64.28	233
64.28	299
64.28	362
64.33	248
64.33	255
64.35	337
64.36	536
64.45	348
64.45	278
64.52	527
64.53	461
64.54	291
64.60	234
64.61	403
64.63	335
64.65	285
64.68	163
64.70	404
64.70	205
64.74	357
64.77	383
64.77	397
64.81	355
64.88	135
64.88	454
64.94	353
65.01	455
65.02	516
65.09	459
65.10	237
65.13	252
65.15	23
65.21	457
65.24	281
65.25	193
65.32	329
65.55	310
65.59	521
65.59	304
65.71	508
65.72	287
65.73	532
65.75	528
65.79	515
65.80	444
65.82	303
65.83	510
65.85	374
65.94	523
66.02	386
66.14	292
66.15	188
66.15	231
66.16	456
66.16	302
66.19	445
66.20	228
66.25	354
66.28	224
66.33	485
66.33	502
66.34	367
66.35	181
66.43	182
66.46	453
66.48	204
66.53	365
66.62	535
66.67	505
66.72	512
66.80	15
66.83	236
66.91	476
66.98	171
67.01	517
67.11	330
67.18	230
67.28	254
67.33	180
67.33	295
67.45	226
67.53	241
67.55	468
67.58	227
67.60	210
67.65	338
67.68	202
67.70	311
67.72	290
67.73	296
67.80	223
67.81	466
67.95	192
67.95	220
68.00	225
68.01	477
68.02	279
68.05	194
68.05	320
68.10	176
68.17	298
68.17	448
68.20	197
68.28	201
68.38	229
68.40	221
68.45	402
68.48	442
68.56	370
68.61	529
68.79	385
68.90	191
68.95	184
69.13	209
69.14	483
69.15	185
69.19	339
69.27	443
69.29	393
69.40	246
69.46	513
69.54	526
69.90	245
70.03	79
70.05	478
70.06	344
70.08	264
70.10	177
70.10	263
70.13	272
70.14	321
70.14	327
70.15	187
70.25	492
70.27	282
70.30	232
70.35	219
70.40	215
70.45	235
70.50	174
70.50	186
70.55	183
70.58	319
70.68	206
70.70	203
70.73	253
70.88	257
70.90	170
70.93	238
71.00	175
71.05	242
71.10	195
71.47	486
71.48	249
71.73	196
71.88	247
71.93	251
71.94	482
72.03	207
72.10	266
72.10	267
72.15	240
72.30	12
72.50	244
72.53	213
72.70	250
72.73	198
72.88	212
72.90	211
73.08	190
73.23	265
73.28	217
73.30	222
73.43	22
73.43	243
73.45	262
73.55	199
73.60	172
73.88	261
73.90	173
73.93	143
73.95	147
74.00	150
74.08	140
74.13	9
74.20	151
74.20	157
74.25	154
74.33	214
74.35	153
74.38	218
74.40	233
74.43	148
74.45	158
74.45	200
74.50	155
74.60	146
74.60	255
74.60	256
74.63	144
74.63	208
